ch1_aX,ch1_aY,ch1_aZ,ch3_aX,ch3_aY,ch3_aZ,ch5_aX,ch5_aY,ch5_aZ
59.08203125,-5.859375,1015.13671875,-39.3203125,-14.52734375,997.7109375000001,-116.0888671875,-57.0068359375,997.9248046875
59.08203125,-5.859375,1015.13671875,-39.3203125,-14.52734375,995.9218750000001,-116.0888671875,-57.861328125,998.53515625
53.7109375,-12.6953125,1013.18359375,-39.1953125,-15.691406250000002,995.9218750000001,-116.3330078125,-59.2041015625,999.51171875
53.7109375,-12.6953125,1013.18359375,-1500.87548828125,-367.98486328125,611.9218750000001,-116.69921875,-59.5703125,999.8779296875
58.59375,-8.7890625,1013.18359375,-1688.875244140625,859.0151367187501,611.9218750000001,-116.943359375,-57.861328125,1000.244140625
58.59375,-8.7890625,1013.18359375,-39.409912109375,-12.97265625,611.9218750000001,-116.943359375,-56.7626953125,1000.6103515625
60.546875,-8.30078125,1012.20703125,-1776.154052734375,31.94580078125,611.9218750000001,-117.3095703125,-55.419921875,999.8779296875
60.546875,-8.30078125,1012.20703125,-665.938232421875,-1831.875244140625,611.9218750000001,-118.1640625,-54.5654296875,999.0234375
58.10546875,-4.8828125,998.53515625,1005.6796875,-38.820068359375,611.9218750000001,-119.384765625,-54.5654296875,998.779296875
58.10546875,-4.8828125,998.53515625,1283.92626953125,-2032.1518554687498,611.9218750000001,-119.7509765625,-55.908203125,999.0234375
61.5234375,-8.30078125,994.62890625,-67.98486328125,-559.938232421875,611.9218750000001,-119.9951171875,-57.861328125,1000.1220703125
61.5234375,-8.30078125,994.62890625,-14.8671875,1004.9726562500001,-44.078125,-119.384765625,-58.7158203125,1001.220703125
60.05859375,-5.37109375,1000.48828125,-13.757812500000002,1003.6796875,-44.078125,-118.5302734375,-58.10546875,1001.5869140625
60.05859375,-5.37109375,1000.48828125,1567.948486328125,-1532.079833984375,-44.078125,-118.1640625,-56.5185546875,1001.46484375
61.03515625,-6.34765625,999.0234375,-1828.875244140625,830.01513671875,-44.078125,-118.2861328125,-55.908203125,1000.9765625
61.03515625,-6.34765625,999.0234375,-39.671630859375,-11.859375,-44.078125,-118.5302734375,-56.396484375,1001.46484375
63.96484375,-8.30078125,1011.71875,-2032.1577148437502,1567.95849609375,-44.078125,-118.7744140625,-56.5185546875,1002.197265625
63.96484375,-8.30078125,1011.71875,-1746.938232421875,1837.124755859375,-44.078125,-119.384765625,-56.15234375,1002.3193359375
60.546875,-4.8828125,1005.859375,1000.5781250000001,-42.249755859375,-44.078125,-119.9951171875,-56.396484375,1002.3193359375
60.546875,-4.8828125,1005.859375,1027.912353515625,1551.833740234375,-736.0156250000001,-120.2392578125,-57.12890625,1002.197265625
63.96484375,-10.7421875,996.58203125,1000.8359375,-42.835693359375,-9.15625,-119.5068359375,-58.10546875,1001.220703125
63.96484375,-10.7421875,996.58203125,-39.546875,-17.61328125,997.00390625,-118.7744140625,-58.7158203125,1000.1220703125
57.6171875,-4.8828125,981.93359375,-38.76171875,-16.58203125,997.00390625,-117.0654296875,-58.7158203125,999.6337890625
