ch1_aX,ch1_aY,ch1_aZ,ch3_aX,ch3_aY,ch3_aZ,ch5_aX,ch5_aY,ch5_aZ
47.36328125,-14.16015625,1017.578125,37.18359375,81.1875,-1068.8828125,-109.619140625,-9.1552734375,1005.9814453125
47.36328125,-14.16015625,1017.578125,37.18359375,81.16796875,-1069.515625,-109.86328125,-10.3759765625,1006.9580078125
49.31640625,-7.8125,1021.484375,37.38671875,81.16796875,-1069.515625,-110.107421875,-10.6201171875,1006.9580078125
49.31640625,-7.8125,1021.484375,1332.063720703125,262.04614257812506,-1069.515625,-109.4970703125,-10.009765625,1006.34765625
59.5703125,-11.23046875,1019.53125,36.81665039062501,80.6015625,-1069.515625,-108.642578125,-9.521484375,1005.4931640625
59.5703125,-11.23046875,1019.53125,512.14111328125,1296.312255859375,-1069.515625,-108.642578125,-10.009765625,1005.0048828125
55.17578125,-10.25390625,1017.578125,1169.00048828125,976.063720703125,-1069.515625,-108.88671875,-10.009765625,1005.4931640625
55.17578125,-10.25390625,1017.578125,-1066.51171875,36.855712890625,82.484375,-109.619140625,-9.3994140625,1005.7373046875
49.8046875,-11.71875,1010.7421875,-1067.30859375,37.144775390625,82.484375,-110.7177734375,-9.3994140625,1005.4931640625
49.8046875,-11.71875,1010.7421875,1547.82861328125,-1023.8566894531249,82.484375,-111.9384765625,-9.521484375,1005.37109375
47.8515625,-4.8828125,1015.625,-84.953857421875,1367.00048828125,82.484375,-112.6708984375,-10.009765625,1005.7373046875
47.8515625,-4.8828125,1015.625,80.64453125,-1066.953125,82.484375,-112.3046875,-10.7421875,1005.7373046875
54.19921875,-8.7890625,1019.53125,1040.31689453125,1291.835693359375,82.484375,-110.83984375,-11.962890625,1004.7607421875
54.19921875,-8.7890625,1019.53125,1340.063720703125,128.046142578125,82.484375,-109.4970703125,-12.3291015625,1003.662109375
60.05859375,-7.8125,1020.5078125,37.644775390625,80.52734375000001,82.484375,-109.0087890625,-11.3525390625,1003.662109375
60.05859375,-7.8125,1020.5078125,0.150390625,-239.68676757812503,1026.4843750000002,-109.619140625,-9.3994140625,1005.0048828125
58.59375,-3.90625,1007.32421875,1280.1484375,-239.68701171875,1026.4843750000002,-110.2294921875,-8.6669921875,1006.34765625
58.59375,-3.90625,1007.32421875,729.00048828125,1461.063720703125,1026.4843750000002,-110.4736328125,-9.1552734375,1007.32421875
58.59375,-4.8828125,1024.90234375,-1068.72265625,37.699462890625,1026.4843750000002,-110.2294921875,-9.521484375,1008.30078125
58.59375,-4.8828125,1024.90234375,-500.17578125000006,-767.85888671875,-2031.640625,-109.4970703125,-9.521484375,1008.6669921875
59.08203125,-6.8359375,1027.83203125,-1068.83984375,36.519775390625,82.65234375,-109.4970703125,-9.521484375,1008.30078125
59.08203125,-6.8359375,1027.83203125,36.37890625,81.0390625,-1069.8125,-110.83984375,-9.1552734375,1007.080078125
57.12890625,-13.18359375,1012.20703125,36.65234375,81.0390625,-1069.8125,-111.9384765625,-9.3994140625,1006.34765625
57.12890625,-13.18359375,1012.20703125,36.65234375,80.9453125,-1070.69921875,-111.4501953125,-10.1318359375,1006.2255859375
58.59375,-6.8359375,1024.4140625,36.796875,80.9453125,-1070.69921875,-110.4736328125,-10.1318359375,1006.591796875
58.59375,-6.8359375,1024.4140625,36.796875,81.25,-1070.62109375,-110.107421875,-8.4228515625,1006.9580078125
53.7109375,-8.7890625,1027.83203125,37.60546875,81.25,-1070.62109375,-109.86328125,-6.9580078125,1006.9580078125
53.7109375,-8.7890625,1027.83203125,37.60546875,81.40234375000001,-1071.15625,-109.619140625,-6.9580078125,1006.9580078125
63.96484375,-9.27734375,1028.80859375,37.61328125,81.40234375000001,-1071.15625,-110.107421875,-8.1787109375,1007.568359375
63.96484375,-9.27734375,1028.80859375,37.61328125,81.2578125,-1072.1328125,-110.7177734375,-8.4228515625,1007.6904296875
